InfoCube,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,INFOAREA,Cube Type,Cube Sub Type
0TE_MP04,D,INA,7.0/03,"2,00,60,70,51,35,453",SAP,BW,0TC_NM,M,
0TE_MP02,D,INA,7.0/03,"2,00,60,70,50,90,821",SAP,BW,0TC_NM,M,
0TE_MC04,D,INA,7.0/03,"2,00,61,20,51,71,950",SAP,BW,0TC_SA,M,
0TE_MC03,D,INA,7.0/03,"2,00,60,41,81,84,501",SAP,BW,0TC_SA,M,
0TE_MC02,D,INA,7.0/03,"2,00,60,41,01,45,110",SAP,BW,0TC_SA,M,
0TE_MC01,D,INA,7.0/03,"2,00,71,13,00,85,449",SAP,BW,0TC_SA,M,
0TE_C08,D,INA,7.0/03,"2,00,61,12,71,64,916",SAP,BW,0TC_SA,B,
0TE_C07,D,INA,7.0/03,"2,00,60,70,50,93,527",SAP,BW,0TC_NM,B,
0TE_C06,D,INA,7.0/03,"2,00,60,51,31,71,907",SAP,BW,0TC_SA,B,
0TE_C05,D,INA,7.0/03,"2,00,60,71,00,90,426",SAP,BW,0TC_NM,B,
0TE_C04,D,INA,7.0/03,"2,00,60,70,61,00,353",SAP,BW,0TC_NM,B,
0TE_C02,D,INA,7.0/03,"2,00,60,70,50,72,714",SAP,BW,0TC_NM,B,
0TE_C01,D,INA,7.0/03,"2,00,71,13,00,84,619",SAP,BW,0TC_SA,B,
0TCTHP24I,A,ACT,7.3/00,"2,00,60,72,81,21,437",SAP,BW,0BWTCT_STA,B,F
0TCTHP24I,D,ACT,7.3/00,"2,00,60,72,81,21,437",SAP,BW,0BWTCT_STA,B,
0TCTHP24I,M,ACT,7.3/00,"2,00,60,72,81,21,437",SAP,BW,0BWTCT_STA,B,F
0TCTHP24,A,ACT,7.3/00,"2,00,60,72,81,14,426",SAP,BW,0BWTCT_STA,H,
0TCTHP24,D,ACT,7.3/00,"2,00,60,72,81,14,426",SAP,BW,0BWTCT_STA,H,
0TCTHP24,M,ACT,7.3/00,"2,00,60,72,81,14,426",SAP,BW,0BWTCT_STA,H,
0TCT_VCA1,A,ACT,7.3/00,"2,00,90,81,21,00,434",SAP,BW,0BWTCT,V,S
